feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911173|Snow Canyon|Valley|New Mexico|35|Otero|035|Woodson Canyon|11/13/1980|02/08/2020||||325158N|1052358W|32.8661788|-105.399362|325244N|1052651W|32.8788297|-105.4475386
911174|Snow Canyon|Valley|New Mexico|35|Catron|003|Loco Mountain|11/13/1980|01/29/2020|Official|Board Decision|01/01/1965|332452N|1082926W|33.4144558|-108.490654|332732N|1083718W|33.4589112|-108.6217952
911175|Snow Canyon Tank|Reservoir|New Mexico|35|Catron|003|Negrito Mountain|11/13/1980|02/26/2019||||332707N|1083001W|33.4519198|-108.5003613|||0.0|0.0
911176|Snow Creek|Stream|New Mexico|35|Grant|017|Granny Mountain|08/31/1992||Official|Board Decision|01/01/1991|330254N|1081834W|33.0484028|-108.3094944|325934N|1081939W|32.9928478|-108.3275498
911178|Snow Gap|Gap|New Mexico|35|Grant|017|Crookson Peak|11/13/1980|||||325748N|1085331W|32.9634019|-108.8920047|||0.0|0.0
911179|Snow Park|Flat|New Mexico|35|Catron|003|Mogollon Baldy Peak|11/13/1980|||||331535N|1083446W|33.2597873|-108.5795004|||0.0|0.0
911180|Snow Peak|Summit|New Mexico|35|Grant|017|Wilson Mountain|11/13/1980|01/22/2020||||331213N|1085624W|33.2036704|-108.939948|||0.0|0.0
911182|Snow Spring|Spring|New Mexico|35|Otero|035|Ruidoso|11/13/1980|04/19/2011||||331556N|1053848W|33.2654789|-105.6466984|||0.0|0.0
911183|Snow Tank|Reservoir|New Mexico|35|Otero|035|Woodson Canyon|11/13/1980|11/15/2018||||325227N|1052613W|32.8741101|-105.4369025|||0.0|0.0
911184|Snowflake Canyon|Valley|New Mexico|35|Grant|017|Santa Rita Mine|11/13/1980|02/04/2020||||325012N|1080448W|32.8366687|-108.0800088|325016N|1080404W|32.8378514|-108.0679078
911187|Socorro Canyon|Valley|New Mexico|35|Socorro|053|Socorro|11/13/1980|02/08/2020||||340351N|1065315W|34.0640296|-106.8874979|340355N|1070043W|34.0653948|-107.0119109
